codbar,neighborhood,district,grid_point,lat,lon,nearest_bike_parking_m,is_underserved
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,5,39.4668599809176,-0.3312589739763023,35.4,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,6,39.4668599809176,-0.3277679960719898,37.4,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,7,39.4668599809176,-0.32427701816767734,81.5,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,8,39.46955491444257,-0.33474995188061474,37.8,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,9,39.46955491444257,-0.3312589739763023,27.8,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,10,39.46955491444257,-0.3277679960719898,45.4,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,11,39.46955491444257,-0.32427701816767734,28.1,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,12,39.47224984796754,-0.3312589739763023,23.6,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,13,39.47224984796754,-0.3277679960719898,13.1,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,14,39.47224984796754,-0.32427701816767734,51.6,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,15,39.47494478149251,-0.3312589739763023,105.7,False
16,SANT FRANCESC,CIUTAT VELLA,0,39.468472670212904,-0.3783281179596872,28.6,False
16,SANT FRANCESC,CIUTAT VELLA,1,39.468472670212904,-0.37483707401983396,38.3,False
16,SANT FRANCESC,CIUTAT VELLA,2,39.471167603737875,-0.3783281179596872,38.6,False
16,SANT FRANCESC,CIUTAT VELLA,3,39.471167603737875,-0.37483707401983396,38.4,False
16,SANT FRANCESC,CIUTAT VELLA,4,39.471167603737875,-0.37134603007998074,39.8,False
91,LA RAIOSA,JESUS,0,39.45489122683947,-0.3850831140282422,10.2,False
91,LA RAIOSA,JESUS,1,39.45489122683947,-0.3815926988673076,173.7,False
91,LA RAIOSA,JESUS,2,39.45758616036444,-0.38857352918917676,86.7,False
91,LA RAIOSA,JESUS,3,39.45758616036444,-0.3850831140282422,109.0,False
91,LA RAIOSA,JESUS,4,39.460281093889414,-0.38857352918917676,41.5,False
105,NA ROVELLA,QUATRE CARRERES,0,39.448953315572155,-0.36985926628930665,63.8,False
105,NA ROVELLA,QUATRE CARRERES,1,39.448953315572155,-0.36636908673986596,48.9,False
105,NA ROVELLA,QUATRE CARRERES,2,39.451648249097126,-0.36985926628930665,58.2,False
105,NA ROVELLA,QUATRE CARRERES,3,39.451648249097126,-0.36636908673986596,46.4,False
105,NA ROVELLA,QUATRE CARRERES,4,39.4543431826221,-0.36636908673986596,68.1,False
105,NA ROVELLA,QUATRE CARRERES,5,39.4543431826221,-0.36287890719042526,91.6,False
105,NA ROVELLA,QUATRE CARRERES,6,39.45703811614707,-0.35938872764098456,76.4,False
82,SANT ISIDRE,PATRAIX,0,39.45168726013967,-0.40746341245252055,204.6,False
82,SANT ISIDRE,PATRAIX,1,39.45168726013967,-0.4039732167018857,48.3,False
82,SANT ISIDRE,PATRAIX,2,39.45438219366464,-0.4039732167018857,43.8,False
82,SANT ISIDRE,PATRAIX,3,39.45438219366464,-0.4004830209512508,69.3,False
95,CAMI REAL,JESUS,0,39.438537724898,-0.3901495033867288,272.1,True
95,CAMI REAL,JESUS,1,39.44123265842297,-0.39712906580533025,162.5,False
95,CAMI REAL,JESUS,2,39.44123265842297,-0.39363928459602954,189.6,False
95,CAMI REAL,JESUS,3,39.44123265842297,-0.3901495033867288,18.3,False
95,CAMI REAL,JESUS,4,39.44123265842297,-0.3866597221774281,274.1,True
95,CAMI REAL,JESUS,5,39.44392759194794,-0.40061884701463096,278.5,True
95,CAMI REAL,JESUS,6,39.44392759194794,-0.39712906580533025,164.7,False
95,CAMI REAL,JESUS,7,39.44392759194794,-0.39363928459602954,46.4,False
95,CAMI REAL,JESUS,8,39.44392759194794,-0.3866597221774281,112.3,False
95,CAMI REAL,JESUS,9,39.44662252547291,-0.4041086282239317,478.7,True
95,CAMI REAL,JESUS,10,39.44662252547291,-0.40061884701463096,388.6,True
95,CAMI REAL,JESUS,11,39.44662252547291,-0.39712906580533025,134.6,False
95,CAMI REAL,JESUS,12,39.44662252547291,-0.39363928459602954,105.3,False
95,CAMI REAL,JESUS,13,39.44931745899788,-0.4041086282239317,180.6,False
95,CAMI REAL,JESUS,14,39.44931745899788,-0.40061884701463096,280.5,True
95,CAMI REAL,JESUS,15,39.44931745899788,-0.39712906580533025,117.7,False
95,CAMI REAL,JESUS,16,39.45201239252285,-0.40061884701463096,216.6,False
71,NOU MOLES,L'OLIVERETA,0,39.46835375007819,-0.3947997815587868,37.4,False
71,NOU MOLES,L'OLIVERETA,1,39.46835375007819,-0.39130867337062647,45.6,False
71,NOU MOLES,L'OLIVERETA,2,39.47104868360316,-0.4017819979351075,49.2,False
71,NOU MOLES,L'OLIVERETA,3,39.47104868360316,-0.39829088974694715,22.6,False
71,NOU MOLES,L'OLIVERETA,4,39.47104868360316,-0.3947997815587868,33.9,False
71,NOU MOLES,L'OLIVERETA,5,39.47374361712813,-0.40527310612326783,61.0,False
71,NOU MOLES,L'OLIVERETA,6,39.47374361712813,-0.4017819979351075,14.4,False
71,NOU MOLES,L'OLIVERETA,7,39.47374361712813,-0.39829088974694715,22.5,False
151,ELS ORRIOLS,RASCANYA,0,39.48932049815357,-0.36864533886331147,114.0,False
151,ELS ORRIOLS,RASCANYA,1,39.49201543167854,-0.37213759802071383,64.9,False
151,ELS ORRIOLS,RASCANYA,2,39.49471036520351,-0.36864533886331147,28.2,False
151,ELS ORRIOLS,RASCANYA,3,39.49740529872848,-0.36864533886331147,59.0,False
55,SANT ANTONI,LA SAÏDIA,0,39.487700787764595,-0.37552110429177066,16.6,False
