objectid,parking_type,spaces,x_utm,y_utm,lat,lon
1458655,A - Horquilla,8,726395.9460000005,4374339.32,39.48888104420798,-0.36744494116151255
1458656,A - Horquilla,10,724417.2139999997,4374815.025,39.49368148117948,-0.3902711677293036
1458657,A - Horquilla,10,729730.1770000001,4371631.605,39.4636254522008,-0.3296460357937961
1458658,A - Horquilla,6,727349.3059999999,4372959.723999999,39.476211864530526,-0.3568406373145155
1458659,A - Horquilla,10,729201.5099999998,4371091.0309999995,39.45890070900581,-0.33597058915243566
1458660,A - Horquilla,8,725752.5690000001,4372970.452,39.47672877215477,-0.3753823165887583
1458661,A - Horquilla,4,727506.0599999996,4373378.82,39.47994271956807,-0.3548770659036351
1458662,A - Horquilla,4,725902.1390000004,4372173.489,39.46951594992586,-0.3739150136895425
1458663,A - Horquilla,54,727042.4199999999,4373059.08,39.477187188772724,-0.360371112778575
1458664,A - Horquilla,8,723977.0999999996,4371480.775,39.46378366685616,-0.3965041235447811
1458665,A - Horquilla,2,726204.744,4371894.597999999,39.466926151560926,-0.3704952904198186
1458666,A - Horquilla,8,726652.3660000004,4374463.954,39.48993535571464,-0.3644238373899167
1458667,A - Horquilla,10,724060.0920000002,4373500.859999999,39.48194544619031,-0.3948618291091153
1458668,A - Horquilla,60,727296.2580000004,4373244.925000001,39.47879297435782,-0.35735955497702143
1458669,A - Horquilla,12,725684.3320000004,4372330.991,39.47099078317653,-0.37639122327733776
1458670,A - Horquilla,8,725645.9400000004,4375056.789999999,39.495536146213404,-0.37591456284578834
1458671,A - Horquilla,8,725467.5559999999,4372276.425000001,39.47055643529378,-0.37892723945700296
1458672,A - Horquilla,6,724859.9060000004,4370544.392999999,39.45512494863203,-0.3865678672961837
1458673,A - Horquilla,10,726848.699,4373918.562000001,39.484974510320846,-0.3623286982256699
1458674,A - Horquilla,8,724777.1540000001,4372048.540999999,39.46868576472933,-0.38702214016913106
1458675,A - Horquilla,10,725279.2970000003,4374469.821,39.490348869665674,-0.38037258011667446
1458676,A - Horquilla,4,727025.4680000003,4374160.327,39.487104013592884,-0.3601930355827072
1458677,A - Horquilla,10,730133.2450000001,4372969.169,39.475556936398554,-0.32450423750035917
1458678,A - Horquilla,2,728909.7489999998,4371718.634,39.46462730987119,-0.3391430744099556
1458679,A - Horquilla,2,728863.6660000002,4371714.467,39.464602054395876,-0.33967963285982433
1458680,A - Horquilla,2,728854.6660000002,4371715.134,39.46461045038083,-0.33978391475798325
1458681,A - Horquilla,2,728840.2489999998,4371716.800000001,39.46462927802365,-0.33995075793048646
1458682,A - Horquilla,2,728824.4989999998,4371718.967,39.46465296916977,-0.34013290861941964
1458683,A - Horquilla,2,728753.5829999996,4371726.634,39.46474082433733,-0.34095377908647284
1458684,A - Horquilla,2,728734.4989999998,4371728.634,39.46476389655303,-0.3411747032528121
1458685,A - Horquilla,2,728721.8329999996,4371730.134,39.46478076289749,-0.3413212709688457
1458686,A - Horquilla,2,728707.8329999996,4371731.550000001,39.46479722735597,-0.34148335841799754
1458687,A - Horquilla,4,728693.4160000002,4371765.967,39.46511084158276,-0.34163897887807126
1458688,A - Horquilla,4,728695.5829999996,4371773.467,39.46517777281898,-0.3416112445241322
1458689,A - Horquilla,4,728699.4989999998,4371785.050000001,39.4652809901768,-0.34156180069655634
1458690,A - Horquilla,2,728706.2489999998,4371803.800000001,39.46544796420922,-0.3414769907419803
1458691,A - Horquilla,8,728666.9989999998,4371807.217,39.46548914624418,-0.34193160861278027
1458692,A - Horquilla,4,728550.1660000002,4371871.967,39.466102979830126,-0.3432661514559254
1458693,A - Horquilla,2,728555.2489999998,4371869.967,39.46608362855072,-0.34320780976072895
1458694,A - Horquilla,2,728524.8329999996,4371880.717,39.46618846287655,-0.34355733628992674
1458695,A - Horquilla,4,724269.051,4370516.999,39.45503243200797,-0.39343760524601923
1458696,A - Horquilla,4,723949.8490000004,4373084.866,39.4782296660743,-0.3962820904166758
1458697,A - Horquilla,8,723228.3830000004,4370493.286,39.455089350408954,-0.4055290240832176
1458698,A - Horquilla,6,725652.9400000004,4374469.1,39.49024444037704,-0.3760322408133707
1458699,A - Horquilla,2,725628.7779999999,4374472.283,39.49027942921617,-0.37631185076931134
1458700,A - Horquilla,4,726002.9110000003,4373933.082,39.485327806574475,-0.37214841286206624
1458701,A - Horquilla,30,726916.824,4373106.790999999,39.47764976431563,-0.36181362493671293
1458702,A - Horquilla,10,726398.1569999997,4370226.596999999,39.451861431065566,-0.36881492755960854
1458703,A - Horquilla,10,728840.0300000003,4372435.106000001,39.471094735335285,-0.33970694464462037
1458704,A - Horquilla,8,725284.9550000001,4371414.324999999,39.46284431173029,-0.3813389732148321
1458705,A - Horquilla,6,725518.2110000001,4374122.103,39.48715640549574,-0.3777147800916885
1458706,A - Horquilla,4,723396.773,4370494.614,39.4550576414135,-0.40357335077007095
1458707,A - Horquilla,20,727254.5650000004,4370529.896,39.45436591564107,-0.3587684765876312
1458708,A - Horquilla,6,726269.1529999999,4371393.813999999,39.4624016074171,-0.3699171092182009
1458709,A - Horquilla,12,730277.5630000001,4371973.538000001,39.46655688808674,-0.3231718019631949
1458710,A - Horquilla,20,724836.7170000002,4373645.476,39.48304457439736,-0.3857920711814545
1458711,A - Horquilla,8,724634.0049999999,4371809.76,39.46657380385997,-0.38876497987038805
1458712,A - Horquilla,10,728604.216,4373336.498,39.47927073989637,-0.34213660056847917
1458713,A - Horquilla,10,725716.1490000002,4373111.903000001,39.47801154625334,-0.3757574477527563
1458714,A - Horquilla,40,728427.6500000004,4373267.679,39.478698194915644,-0.3442109469813601
1458715,A - Horquilla,8,726843.3559999997,4371697.812999999,39.46498683712974,-0.36314603700982484
1458716,A - Horquilla,4,728908.2489999998,4372108.717,39.46813880480979,-0.33902667665101976
1458717,A - Horquilla,6,725825.3640000001,4371272.890000001,39.46142966180943,-0.3751114105996583
1458718,A - Horquilla,8,726186.4440000001,4372378.694,39.47128836616662,-0.37054369147742094
1458719,A - Horquilla,10,725763.1359999999,4372140.800000001,39.469258179107634,-0.3755403783057511
1458720,A - Horquilla,6,723305.6220000004,4373707.403000001,39.484000750944006,-0.40355638428095525
1458721,A - Horquilla,8,725485.7429999998,4373018.036,39.47722703809204,-0.378465322584311
1458722,A - Horquilla,12,725519.3020000001,4370297.944,39.45273419649283,-0.37899479082452087
1458723,A - Horquilla,10,728572.3710000003,4370573.676000001,39.45441125207621,-0.3434528783523834
1458724,A - Horquilla,8,725817.9589999998,4368080.808,39.43269906321421,-0.3762766176230652
1458725,A - Horquilla,8,725576.1270000003,4372262.859999999,39.4704058885947,-0.3776709214540412
1458726,A - Horquilla,6,726537.2620000001,4372168.464,39.469303807865096,-0.3665407940292125
1458727,A - Horquilla,8,723601.2589999996,4373013.771,39.47768036671393,-0.4003548402138559
